"","l1","l2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"s.728","dienlich|ADJX","0.0040","dienlichst","dienlichsten","dienlichstem","dienlichere","dienlichstes","dienlichster","dienlichem","dienlichste","dienlichen","dienliche","dienlicherer","dienlicher","dienlicheres","dienliches","dienlicheren","dienlicherem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.729","diplomatisch|ADJX","0.0040","diplomatischem","diplomatischste","diplomatischen","diplomatische","diplomatisches","diplomatischer","diplomatischstem","diplomatischsten","diplomatischst","diplomatischster","diplomatischstes","diplomatischeres","diplomatischere","diplomatischerer","diplomatischerem","diplomatischeren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.730","diskret|ADJX","0.0040","diskretem","diskretester","diskreten","diskrete","diskretestem","diskretesten","diskreteste","diskretere","diskreteren","diskreterem","diskretest","diskreteres","diskretestes","diskreterer","diskretes","diskreter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.731","diszipliniert|ADJX","0.0040","diszipliniertester","disziplinierterem","disziplinierteren","diszipliniertesten","disziplinierteste","diszipliniertestem","disziplinierteres","disziplinierterer","diszipliniertest","diszipliniertestes","disziplinierte","diszipliniertes","disziplinierter","disziplinierten","diszipliniertere","diszipliniertem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.732","dufte|ADJX","0.1958","duftester","duftest","duftestes","dufteres","duftesten","dufterer","dufterem","dufteren","duftes","dufter","duften","duftem","duftestem","duftere","dufteste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.733","duften|ADJX","0.2132","duftest","dufte","duft","dufttet","geduftet","dufttest","dufteten","duftete","duftet","duftte","duftetet","duftetest","duftten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.734","durchdacht|ADJX","0.2131","durchdachteren","durchdachterem","durchdachterer","durchdachteres","durchdachtestes","durchdachtester","durchdachtest","durchdachtesten","durchdachte","durchdachtestem","durchdachtem","durchdachten","durchdachtere","durchdachtes","durchdachteste","durchdachter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.735","durchhalten|VVINF","0.0040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.736","durchschlagend|ADJX","0.0040","durchschlagenderen","durchschlagenderem","durchschlagendem","durchschlagende","durchschlagendere","durchschlagenderer","durchschlagenden","durchschlagenderes","durchschlagendes","durchschlagender","durchschlagendst","durchschlagendstem","durchschlagendsten","durchschlagendstes","durchschlagendste","durchschlagendster",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.737","dynamisch|ADJX","0.0040","dynamischster","dynamischstes","dynamischen","dynamischem","dynamischst","dynamischere","dynamischerer","dynamischeres","dynamischeren","dynamischerem","dynamisches","dynamischsten","dynamischstem","dynamische","dynamischer","dynamischste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.738","edel|ADJX","0.2235","edles","edler","edelst","edelsten","edlem","edelstes","edelster","edlen","edelste","edlerer","edlere","edelstem","edleren","edlerem","edleres","edle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
