"","l1","l2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"s.1066","grauenhaft|ADJX","-0.184","grauenhaften","grauenhafteres","grauenhaftere","grauenhafterer","grauenhaftestem","grauenhafter","grauenhaftes","grauenhafte","grauenhafterem","grauenhaftem","grauenhafteren","grauenhafteste","grauenhaftest","grauenhaftesten","grauenhaftestes","grauenhaftester",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1067","grauenvoll|ADJX","-0.3238","grauenvolles","grauenvoller","grauenvollst","grauenvollen","grauenvollstes","grauenvollem","grauenvollere","grauenvollster","grauenvolleres","grauenvolle","grauenvollsten","grauenvollstem","grauenvollerer","grauenvollste","grauenvolleren","grauenvollerem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1068","grausam|ADJX","-0.625","grausameren","grausamen","grausamem","grausamerem","grausames","grausamer","grausamere","grausamst","grausamerer","grausameres","grausame","grausamsten","grausamstem","grausamstes","grausamster","grausamste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1069","grausig|ADJX","-0.1777","grausigstem","grausigsten","grausiges","grausigst","grausigeren","grausigeres","grausigerer","grausigste","grausigstes","grausigster","grausigen","grausigere","grausigem","grausige","grausiger","grausigerem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1070","grenzdebil|ADJX","-0.0048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1071","grimmig|ADJX","-0.3295","grimmigen","grimmigst","grimmigem","grimmige","grimmiger","grimmiges","grimmigere","grimmigstes","grimmigster","grimmigstem","grimmigeren","grimmigerem","grimmigsten","grimmigeres","grimmigste","grimmigerer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1072","grob|ADJX","-0.3495","gröbster","gröbstes","gröbsten","gröbstem","grobe","gröbst","gröbere","gröberes","gröberer","gröbste","gröber","gröberen","gröberem","grobem","groben","grober","grobes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1073","groggy|ADJX","-0.0048","groggyerer","groggyes","groggyer","groggyste","groggyeren","groggyerem","groggyst","groggystes","groggye","groggyster","groggyere","groggystem","groggysten","groggyem","groggyen","groggyeres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1074","grotesk|ADJX","-0.3318","groteskeres","groteskem","grotesken","groteskesten","groteskerem","groteskeren","groteskeste","grotesker","groteskes","groteskestem","groteskester","groteskestes","groteskere","groteskerer","groteske","groteskest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1075","grottenschlecht|ADJX","-0.3089",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1076","grottenübel|ADJX","-0.0048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1077","gruselig|ADJX","-0.0048","gruseligere","gruseligst","gruseligerem","gruselige","gruseligeren","gruseligem","gruseligen","gruseligstem","gruseligsten","gruseligeres","gruseligerer","gruseliger","gruseligster","gruseliges","gruseligste","gruseligstes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1078","grässlich|ADJX","-0.0395",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1079","gräßlich|ADJX","-0.4529","gräßlicher","gräßliches","gräßlichem","gräßlichen","gräßliche","gräßlicheres","gräßlicherer","gräßlicheren","gräßlichstes","gräßlichster","gräßlicherem","gräßlichstem","gräßlichsten","gräßlichere","gräßlichst","gräßlichste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1080","haarig|ADJX","-0.0351","haarigere","haarige","haariger","haarigeren","haarigstes","haarigerem","haarigst","haarigster","haariges","haarigen","haarigstem","haarigem","haarigsten","haarigste","haarigerer","haarigeres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1081","haarsträubend|ADJX","-0.4637","haarsträubendster","haarsträubenderer","haarsträubendstem","haarsträubendsten","haarsträubenderes","haarsträubendste","haarsträubenderen","haarsträubenderem","haarsträubendem","haarsträubenden","haarsträubendere","haarsträubendst","haarsträubendstes","haarsträubende","haarsträubendes","haarsträubender",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1082","habgierig|ADJX","-0.3059","habgierigst","habgierigsten","habgierigem","habgierigen","habgierigerem","habgierigster","habgierigeren","habgierigstes","habgierigstem","habgierigere","habgierigeres","habgierigerer","habgieriges","habgieriger","habgierigste","habgierige",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1083","halbfertig|ADJX","-0.0048","halbfertigste","halbfertigen","halbfertigem","halbfertigst","halbfertiges","halbfertiger","halbfertigerem","halbfertigsten","halbfertigere","halbfertigstes","halbfertigster","halbfertigeren","halbfertigeres","halbfertige","halbfertigerer","halbfertigstem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1084","happig|ADJX","-0.0256","happiges","happiger","happigste","happigen","happigst","happigerer","happigeres","happigeren","happigerem","happigere","happigem","happigstem","happigsten","happigster","happigstes","happige",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1085","harsch|ADJX","-0.0048","harschstes","harschster","harschestem","harscheste","harschsten","harschstem","harschere","harschst","harscheres","harschem","harsche","harscherer","harschste","harschester","harschestes","harscher","harsches","harschesten","harschest","harschen","harscherem","harscheren",NA,NA,NA,NA,NA,NA
"s.1086","hart|ADJX","-0.1483","hartes","harter","härtere","härtest","härtester","härter","härtestes","hartem","härteste","härtestem","härtesten","harten","harte","härterer","härteres","härteren","härterem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1087","hartnäckig|ADJX","-0.1956","hartnäckigstes","hartnäckigster","hartnäckigste","hartnäckigerem","hartnäckigstem","hartnäckigsten","hartnäckigeren","hartnäckiges","hartnäckiger","hartnäckigere","hartnäckigst","hartnäckigen","hartnäckigem","hartnäckigeres","hartnäckigerer","hartnäckige",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1088","hassen|VVINF","-0.054","hasstet","hass","gehasst","hasstest","hasse","hasset","hassest","hasst","hassten","hasste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1089","heftig|ADJX","-0.1819","heftigst","heftige","heftigste","heftigeren","heftigerem","heftigster","heftigem","heftigen","heftigsten","heftigere","heftigstem","heftiger","heftiges","heftigerer","heftigstes","heftigeres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1090","heikel|ADJX","-0.0048","heikelstes","heikelster","heikelsten","heikelste","heikelst","heikler","heikles","heiklere","heikleres","heikle","heikelstem","heiklerer","heiklem","heiklen","heiklerem","heikleren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1091","heillos|ADJX","-0.0048","heilloser","heilloses","heillosem","heillosen","heilloseste","heillosesten","heillosestem","heillosere","heillose","heillosest","heilloserem","heillosester","heilloseren","heillosestes","heilloseres","heilloserer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1092","heimsuchen|VVINF","-0.3228","heimsuchtest","heimsuchten","heimsuch","heimgesucht","heimsuchte","heimsucht","heimsuchst","heimsuchtet","heimsuchet","heimsuchest","heimsuche",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1093","heimtückisch|ADJX","-0.3241","heimtückischen","heimtückischem","heimtückischere","heimtückisches","heimtückischer","heimtückischeren","heimtückische","heimtückischerem","heimtückischeres","heimtückischerer","heimtückischst","heimtückischstes","heimtückischster","heimtückischste","heimtückischstem","heimtückischsten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1094","heimzahlen|VVINF","-0.0371","heimzahlte","heimzahlst","heimgezahlt","heimzahltet","heimzahltest","heimzahlest","heimzahlten","heimzahl","heimzahle","heimzahlt","heimzahlet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1095","hektisch|ADJX","-0.0396","hektischste","hektischeres","hektischem","hektischsten","hektischen","hektischstem","hektischeren","hektischere","hektischerem","hektischst","hektisches","hektischer","hektischerer","hektischster","hektischstes","hektische",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1096","hemmen|VVINF","-0.1953","hemmest","gehemmt","hemmtest","hemmst","hemme","hemmten","hemmet","hemmte","hemmt","hemmtet","hemm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1097","herabsetzen|VVINF","-0.3199","herabsetzest","herabsetz","herabgesetzt","herabsetzten","herabsetze","herabsetzt","herabsetztet","herabsetztest","herabsetzet","herabsetzte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1098","herausfordern|VVINF","-0.0048","herausforder","herausgefordert","herausfordertest","herausforderst","herausforderen","herausforderte","herausfordertet","herausforderten","herausfordere","herausfordert",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1099","herrisch|ADJX","-0.0426","herrischstes","herrischem","herrischster","herrischen","herrischere","herrischst","herrischsten","herrischer","herrisches","herrischstem","herrischerem","herrischeren","herrische","herrischste","herrischeres","herrischerer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1100","herunter|ADV","-0.0048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1101","heruntermachen|VVINF","-0.0048","heruntermachten","heruntermachet","heruntermache","heruntermachtet","heruntermachest","heruntermachte","heruntermach","heruntermachst","heruntermacht","heruntermachtest","heruntergemacht",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1102","herzlos|ADJX","-0.3157","herzlosere","herzloses","herzloser","herzloseste","herzlosen","herzlose","herzlosem","herzloseres","herzlosestes","herzlosester","herzloserer","herzlosest","herzloserem","herzloseren","herzlosestem","herzlosesten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1103","heucheln|VVINF","-0.0048","geheuchelt","heucheltest","heuchelst","heuchelte","heucheltet","heuchle","heuchelt","heuchele","heuchelen","heuchel","heuchl","heuchelten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1104","heuchlerisch|ADJX","-0.4544","heuchlerischer","heuchlerisches","heuchlerischstem","heuchlerischsten","heuchlerische","heuchlerischem","heuchlerischstes","heuchlerischen","heuchlerischster","heuchlerischere","heuchlerischerer","heuchlerischeres","heuchlerischeren","heuchlerischerem","heuchlerischste","heuchlerischst",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1105","hilflos|ADJX","-0.4827","hilfloserer","hilfloseste","hilflose","hilfloserem","hilfloseren","hilflosem","hilflosen","hilflosere","hilflosestes","hilfloses","hilflosester","hilfloser","hilflosesten","hilflosestem","hilfloseres","hilflosest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1106","hinfällig|ADJX","-0.3336","hinfälligste","hinfälligeres","hinfälligere","hinfälligerer","hinfälligsten","hinfälligstem","hinfälligster","hinfällige","hinfälliges","hinfälliger","hinfälligstes","hinfälligerem","hinfälligen","hinfälligeren","hinfälligem","hinfälligst",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1107","hinterlistig|ADJX","-0.3187","hinterlistigere","hinterlistigerem","hinterlistigeren","hinterlistigerer","hinterlistigeres","hinterlistigstem","hinterlistigsten","hinterlistigen","hinterlistigem","hinterlistiges","hinterlistigste","hinterlistigster","hinterlistiger","hinterlistigstes","hinterlistigst","hinterlistige",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1108","hochtrabend|ADJX","-0.3086","hochtrabendste","hochtrabenderes","hochtrabenderer","hochtrabenderen","hochtrabenderem","hochtrabendem","hochtrabenden","hochtrabendster","hochtrabendstes","hochtrabender","hochtrabendstem","hochtrabendsten","hochtrabendes","hochtrabendst","hochtrabende","hochtrabendere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1109","hoffnungslos|ADJX","-0.3412","hoffnungsloseste","hoffnungslosen","hoffnungslosem","hoffnungslose","hoffnungsloserer","hoffnungslosestem","hoffnungslosesten","hoffnungsloseres","hoffnungslosest","hoffnungsloseren","hoffnungslosester","hoffnungsloserem","hoffnungslosestes","hoffnungslosere","hoffnungsloses","hoffnungsloser",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1110","hungern|VVINF","-0.0565","hungertet","hunger","hungerte","gehungert","hungerst","hungerten","hungeren","hungertest","hungert","hungere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1111","hungrig|ADJX","-0.0048","hungrigst","hungrigere","hungrigerer","hungrigeres","hungrigeren","hungriges","hungrigerem","hungrige","hungrigstes","hungrigster","hungrigen","hungrigsten","hungrigem","hungrigste","hungrigstem","hungriger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1112","hysterisch|ADJX","-0.0465","hysterischsten","hysterischster","hysterischstes","hysterischere","hysterischstem","hysterische","hysterisches","hysterischer","hysterischeres","hysterischerer","hysterischste","hysterischen","hysterischem","hysterischeren","hysterischerem","hysterischst",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1113","hämisch|ADJX","-0.3198","hämischstes","hämischster","hämischere","hämischsten","hämischstem","hämisches","hämischer","hämischem","hämischst","hämischen","hämischste","hämischeren","hämischerem","hämischerer","hämische","hämischeres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1114","hässlich|ADJX","-0.4387",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1115","höhnisch|ADJX","-0.0525","höhnischsten","höhnischste","höhnischstem","höhnische","höhnischer","höhnisches","höhnischeren","höhnischerem","höhnischerer","höhnischst","höhnischeres","höhnischen","höhnischere","höhnischster","höhnischstes","höhnischem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1116","idiotisch|ADJX","-0.0048","idiotischsten","idiotischste","idiotischstem","idiotischer","idiotischen","idiotischst","idiotische","idiotischem","idiotischerem","idiotischere","idiotisches","idiotischeres","idiotischerer","idiotischstes","idiotischster","idiotischeren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1117","illegal|ADJX","-0.3479","illegaler","illegales","illegalsten","illegalstes","illegalster","illegaleres","illegalerer","illegalstem","illegaleren","illegalste","illegalerem","illegale","illegalst","illegalere","illegalen","illegalem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1118","illoyal|ADJX","-0.0048","illoyalem","illoyalen","illoyalstes","illoyaleren","illoyalst","illoyalster","illoyalerem","illoyalsten","illoyalstem","illoyales","illoyale","illoyalere","illoyaler","illoyalerer","illoyaleres","illoyalste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1119","immobil|ADJX","-0.0048","immobilst","immobile","immobilerer","immobileres","immobilere","immobilerem","immobileren","immobilen","immobiler","immobiles","immobilste","immobilstem","immobilsten","immobilster","immobilstes","immobilem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1120","ineffizient|ADJX","-0.4602","ineffizientere","ineffizienterem","ineffizienteren","ineffizienteres","ineffizienterer","ineffizienten","ineffizientestes","ineffizientester","ineffiziente","ineffizienteste","ineffizientem","ineffizientestem","ineffizientesten","ineffizientes","ineffizienter","ineffizientest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1121","infiltrieren|VVINF","-0.0048","infiltrierest","infiltrieret","infiltrier","infiltriertest","infiltrierten","infiltrierte","infiltrierst","infiltriere","infiltriertet","infiltriert",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1122","inkompetent|ADJX","-0.5935","inkompetentesten","inkompetentestem","inkompetentestes","inkompetenteste","inkompetentester","inkompetente","inkompetentem","inkompetenten","inkompetentest","inkompetenter","inkompetentes","inkompetentere","inkompetenteren","inkompetenterem","inkompetenterer","inkompetenteres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.1123","inkonsequent|ADJX","-0.1844","inkonsequenteres","inkonsequenterer","inkonsequentere","inkonsequentester","inkonsequenterem","inkonsequente","inkonsequentestes","inkonsequenteren","inkonsequentes","inkonsequenter","inkonsequentesten","inkonsequentem","inkonsequenten","inkonsequenteste","inkonsequentestem","inkonsequentest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
