"","word","values"
"365","Diebstahl","-0.3505"
"366","Diebstahls","-0.3505"
"367","Diebstähle","-0.3505"
"368","Diebstahles","-0.3505"
"369","Diebstählen","-0.3505"
"370","Diffamierung","-0.4591"
"371","Diffamierungen","-0.4591"
"372","Diktator","-0.0048"
"373","Diktatoren","-0.0048"
"374","Diktators","-0.0048"
"375","Dilemma","-0.3403"
"376","Dilemmas","-0.3403"
"377","Diskriminierung","-0.0048"
"378","Diskriminierungen","-0.0048"
"379","Dissens","-0.0048"
"380","Dissensen","-0.0048"
"381","Dissense","-0.0048"
"382","Dissenses","-0.0048"
"383","Dominierung","-0.0048"
"384","Dominierungen","-0.0048"
"385","Doppeldeutigkeit","-0.0048"
"386","Doppeldeutigkeiten","-0.0048"
"387","Doppelspiel","-0.0048"
"388","Doppelspiele","-0.0048"
"389","Doppelspieles","-0.0048"
"390","Doppelspiels","-0.0048"
"391","Doppelspielen","-0.0048"
"392","Dreck","-0.0048"
"393","Dreckes","-0.0048"
"394","Drecks","-0.0048"
"395","Drift","-0.0048"
"396","Driften","-0.0048"
"397","Drohung","-0.0048"
"398","Drohungen","-0.0048"
"399","Drosselung","-0.3178"
"400","Drosselungen","-0.3178"
"401","Dummheit","-0.4877"
"402","Dummheiten","-0.4877"
"403","Dummkopf","-0.0048"
"404","Dummköpfen","-0.0048"
"405","Dummkopfes","-0.0048"
"406","Dummköpfe","-0.0048"
"407","Dummkopfs","-0.0048"
"408","Dunkelheit","-0.3547"
"409","Dunkelheiten","-0.3547"
"410","Durcheinander","-0.0048"
"411","Durcheinanders","-0.0048"
"412","Durcheinandern","-0.0048"
"413","Dussel","-0.3094"
"414","Dussels","-0.3094"
"415","Dusseln","-0.3094"
"416","Dämpfer","-0.0048"
"417","Dämpfern","-0.0048"
"418","Dämpfers","-0.0048"
"419","Dürre","-0.0048"
"420","Dürren","-0.0048"
"421","Düsternis","-0.0048"
"422","Düsternisen","-0.0048"
"423","Düsternise","-0.0048"
"424","Egoist","-0.3179"
"425","Egoisten","-0.3179"
"426","Ehebruch","-0.4743"
"427","Ehebruches","-0.4743"
"428","Ehebruchs","-0.4743"
"429","Ehebrüche","-0.4743"
"430","Ehebrüchen","-0.4743"
"431","Einbrecher","-0.0048"
"432","Einbrechers","-0.0048"
"433","Einbrechern","-0.0048"
"434","Einbruch","-0.3498"
"435","Einbrüche","-0.3498"
"436","Einbruches","-0.3498"
"437","Einbrüchen","-0.3498"
"438","Einbruchs","-0.3498"
"439","Einbuße","-0.0048"
"440","Einbußen","-0.0048"
"441","Einsamkeit","-0.339"
"442","Einsamkeiten","-0.339"
"443","Einschlag","-0.0048"
"444","Einschlägen","-0.0048"
"445","Einschlages","-0.0048"
"446","Einschläge","-0.0048"
"447","Einschlags","-0.0048"
