"candidates","Intercept","neg.x","pos.x","hashtag_count.x","URL_dummy","tweet_count","mean_pos","median_pos","var_pos","neg.y","pos.y","V2","followers_count","retweet_count","favorite_count","hashtag_count.y","party","land","opposition","extremity"
"holger_bellino",0.939758781815339,0.356400071340456,-0.396133524179601,0.264727204240191,0.485360651140369,20,-0.639072322899365,-0.0170812057670557,1.86372844922326,0.04193,0.135825,0.177755,44.25,1.15,4.15,1.55,"Union","Hessen",0,0.000291767590456497
"horstarnold_spd",1.43257785322895,1.31371157519526,0.0866766610496442,0.213060893332933,0.341328226945299,44,-1.27027395769081,-1.28438593866942,2.68747235922988,0.0634136363636364,0.136084090909091,0.199497727272727,443.681818181818,1.65909090909091,7.84090909090909,1.65909090909091,"SPD","Bayern",1,1.64964723945173
"huber_ebe",-0.152039967793714,1.29918341662967,0.223956511615844,0.214765675548028,0.977770235651715,47,-0.771451886276321,-0.706476234194527,2.81204853257606,0.0680510638297872,0.0826468085106383,0.150697872340426,763.617021276596,0.127659574468085,2.14893617021277,0.787234042553192,"Union","Bayern",0,0.49910866948168
"hubertaiwanger",1.53044018410833,1.00805618754068,2.10745703656497,0.244335899299816,0.0716001382824806,315,0.193312026604144,0.356863720859662,3.41153757548286,0.0718279365079365,0.101428888888889,0.173256825396825,1921.84444444444,2.91746031746032,8.80952380952381,1.37460317460317,"FREIE WÄHLER","Bayern",1,0.127351715265803
"ilonadeckwerth",0.11714762189241,4.07869254946273,1.22827772752721,-0.0907352963056098,1.18210178965307,54,-1.26918891745313,-1.13203487100333,3.11609905599027,0.0837574074074074,0.137205555555556,0.220962962962963,119.055555555556,0.87037037037037,4.07407407407407,0.722222222222222,"SPD","Bayern",1,1.28150294916753
"ilseaigner",3.26302968179998,0.60694625639273,0.00162828462235579,0.105108208649578,-0.126016630376848,163,-0.389400107832325,-0.137692384663224,2.17178604635595,0.0477742331288344,0.216933742331288,0.264707975460123,4400.91411042945,3.6319018404908,26.9447852760736,2.06748466257669,"Union","Bayern",0,0.0189591927942452
"ismailtipi",3.7339098331584,0.90013834011476,-1.5418003956838,-0.275913117637849,-0.328649057214973,2124,1.21930473675118,0.989032268318241,2.82917085494831,0.0948450564971751,0.136720480225989,0.231565536723164,4195.26506591337,9.98305084745763,21.5706214689266,0.0338983050847458,"Union","Hessen",0,0.978184827774725
"jakecurtis_sec",0.477878429602503,-5.01870760985977,0.730204300009329,-0.0859534986773171,0.0652841524610039,68,-0.257789363921426,-0.0631038469374283,2.21699718419176,0.0308470588235294,0.105083823529412,0.135930882352941,71,0.382352941176471,1.16176470588235,1.13235294117647,"FDP","Bayern",1,0.00398209549830238
"jan_nolte_afd",-2.07611719787922,0.861627748974328,2.92800232313026,0.0809818741606875,4.6679142099105,41,2.78695873301979,2.73867005991355,4.19950690881093,0.0808682926829268,0.0827292682926829,0.16359756097561,444.780487804878,7.73170731707317,19.3658536585366,2.39024390243902,"AfD","Bayern",1,7.50031369706689
"janine_wissler",2.8854789863798,0.461518383020973,1.17790266418005,0.483220198140186,1.03491686242385,741,-0.111207544589863,0.254768294688065,1.24675220171381,0.131417408906883,0.106502968960864,0.237920377867746,7848.20512820513,11.7948717948718,38.8029689608637,0.313090418353576,"DIE LINKE","Hessen",1,0.0649068839782647
"jfroemmrich",1.13862721343211,0.096077706581282,0.341967444712576,0.0200450696067986,0.465998045742308,644,-0.8596208402194,-0.618675465212529,1.94291124293837,0.0640066770186335,0.185479192546584,0.249485869565217,1658.62422360248,0.686335403726708,4.21739130434783,1.47670807453416,"GRUENE","Hessen",0,0.382759331255939
"johannes_becher",1.77304256591383,1.06885856816936,0.925598863914592,-0.205832222366087,1.1067572619859,22,-1.40029003206357,-1.32041576481101,2.8532806488984,0.0842545454545455,0.284631818181818,0.368886363636364,194.5,2.09090909090909,9,3.09090909090909,"GRUENE","Bayern",1,1.74349779196144
"judithbogner",1.08779020698433,-0.194516015988109,0.365974258263669,0.164040823280382,-0.300631363847196,412,0.487651175041673,1.04443800941317,1.76946395973267,0.0439885922330097,0.10033859223301,0.144327184466019,857.184466019418,0.851941747572815,3.23058252427184,2.58009708737864,"GRUENE","Bayern",1,1.09085075550694
"juergenmistol",1.08484900590678,-0.153788354087917,0.526618727117856,0.0798359551107558,-0.0153609492165706,259,-1.44872399941411,-1.38934319676818,2.88733841592428,0.0697274131274131,0.156967181467181,0.226694594594595,469.779922779923,0.806949806949807,3.25096525096525,2.97683397683398,"GRUENE","Bayern",1,1.93027451840603
