"number","text","code","Anmerkung"
"88","Heute Abend habe ich mit jungen engagierten Menschen über die Themen Bildungspolitik, Prävention von sexualisierter Gewalt, Queer und Partizipation von Jugendlichen gesprochen. Es war eine spannende und auch lustige Veranstaltung. Vielen Dank an den Jugendring Darmstadt. https://t.co/aQd1MXR3Ie","",""
"90","Einen schönen Abend gehabt bei der Filmvorstellung "" Wildes Herz - @feinesahne"" des Kreisverbands DIE LINKE. Darmstadt.
Ein großer Dank geht auch an Lise Kula (@Lise_MrLinke ), unsere Jugendkandidatin, für ihren Besuch! https://t.co/cGsuVZVDM6","",""
"91","Gestern mit der Linksjugend ['solid] Hessen :-) https://t.co/N2tk6QFzuJ","",""
"99","Der letzte Infostand heute ist zu Ende gegangen , jetzt heißt es nur noch Daumen drücken für morgen <U+0001F44D><U+0001F3FD><U+274C>

Miethaie zu Fischstäbchen! <U+0001F988> https://t.co/XJ4uuwaRJk","",""
"103","@CSD_Darmstadt mit @dieLinke <U+0001F3F3><U+FE0F><U+200D><U+0001F308><U+0001F60D> https://t.co/2Rdb3A9POX","",""
"107","Heute wird gewählt <U+274C><U+274C>","",""
"108","https://t.co/HRrrtsYBIZ","",""
"113","Da mir auf meiner DSGVO Info Tour durch den Wahlkreis viele Vereinsvertrerer*innen Fragen stellten: hier erneut der Verweis auf die Info Seite. ""Leider"" Bayern aber trotzdem ein gute Übersicht https://t.co/Lhoj5FJccl","",""
"116","...Nails it! #Seehofer #Horstmussweg https://t.co/T6OENwL88T","",""
"117","Der Beirat der #Bundesnetzagentur hat heute wichtige Weichen für den #5G Ausbau gestellt. Klare Botschaft: Ausbauauflagen gehen vor Versteigerungserlösen. Ziel ist eine möglichst hohe Netzabdeckung! Gute Entscheidung #bundestag #spd @spdbt #Mobilfunk","",""
"118","@DejanFreiburg @JanLauer @EskenSaskia @tsghessen Einfach https://t.co/RZMh49LlZJ oder in meinem Facebookaccount Andrea Gerlach SPD  schauen","",""
"123","Die politische Irrfahrt des Herrn #Seehofer haben wir letzte Woche gestoppt. Gestern hat er dafür mit 69 Jahren seinen Master in Zynismus gemacht. Politischer Streit schließt Menschlichkeit, Anstand und Empathie nicht aus. Gilt auch für Innenminister. #69","",""
"125","Mit Henning Harnisch unterwegs. In Langen wollen wir seine Sportidee umsetzen, weil jede*r ein Sportler*in ist. Ein riesen Typ - so oder so! https://t.co/LlXlV2Mam8","",""
"126","Vorbereitung auf #GerSwe #WM2018 #EintrachtFrankfurt #SGE https://t.co/lMpXpWdd2A","",""
"130","Am 28. Oktober finden die #ltwhe18 in Hessen statt. Es gibt viele Gründe, #SPD zu wählen. Hier findet ihr heraus, was wir konkret für euch tun. In nur einer Minute erhaltet ihr euer persönliches Wahlprogramm. Einfach ausprobieren! https://t.co/BG2yTy4pG8 #tsg18 @tsghessen https://t.co/njSQEAVKRV","",""
"131","@konisolde 9.7. Ist Webmontag in Frankfurt","",""
"132","Mindestens 50% der Führungspositionen im öffentlichen Dienst sollen Frauen bis 2025 bekleiden, fordert Justizministerin @katarinabarley (SPD) im #ZDFmoma. Dazu brauche es ein neues Gesetz. https://t.co/VIW495WDiV","",""
"135","Digitalisierung im Altersheim. Zora unterhält die Bewohnerinnen und Bewohner prächtig. Auch das Demenztablet kommt super an. @TobiasEckertSPD und ich sind begeistert. #tsg18 #AndreaGerlachSPDdigital https://t.co/VbSxk3jbst","",""
"136","Gute Lektüre von @RichterHedwig &amp; Kerstin Wolff und gleich mit @tsghessen einen Roten Salon zum Thema #Frauenwahlrecht im @histmus moderieren. Freue mich auf viele Frauen! #suffragette2018 #100JahreFrauenwahlrecht #tsg18 https://t.co/CNAFh6ECRV","",""
"140","Inmitten einer europäischen Finanzkrise auf steigende Zinsen zu  wetten?! Ein Grundkurs VWL und etwas mehr Verstand für die @cdu_hessen. Brutale Milliardenverluste werden kommen! 19 Jahre CDU sind genug. #tsg18 #ltwhe18 #spd via @welt https://t.co/vTHrRgoSRH via @welt","",""
"144","Die Herren Seehofer/ @Heimathofer und @BorisJohnson sind herzlich eingeladen auf einer einsamen Insel einen eigenen Nationalstaat auszurufen. Niemand würde freiwillig hin und alle Europäer*innen hätten Ruhe. Horacio wäre noch frei...","",""
"146","Heute lassen sie Menschen im Mittelmeer ersaufen und morgen erklärt dann wieder irgendein alter Mann wie wichtig die Existenz eines Zellhaufens in einem Uterus ist weil das Leben ja so schützenswert sei.","",""
"151","Das Thema Wohnen und Bauen sei die ""schwierigste, größte und wichtigste Aufgabe der Regierung"". Deswegen holt @tsghessen einen gelernten Betonbauer in sein Schattenkabinett. 

https://t.co/eENwKBe6Bi","",""
"153","Wenn ich das Foto sehe, frage ich mich, ob man hier nicht den Vater von reichlich Problemen sieht. Habe auf dieses rechspopulistische Gequatsche echt keinen Bock mehr. #seehofer #wirdsindmehr https://t.co/4A1oTTA09C","",""
"154","Die Kommunen lechzen nach den Fördergeldern aus dem Digitalpakt. Der Bund und das Land Hessen müssen dringend in die Pötte kommen! Für eine gute Digitalpolitik am 28.10 beide Stimmen für die SPD! #tsg18 #AndreaGerlachSPDdigital #ltw18 https://t.co/qk7cGLWymE","",""
"155","Innovationskraft kommt aus dem Mittelstand. Heute bei Ad&amp;Vision mit SPD Generalsekretär @larsklingbeil https://t.co/iyYC10ui2H","",""
"156","...für brutale Modernisierungsdebatte für einen sozial gerechten und nachhaltigen digitalen Wandel! https://t.co/v8bFUHa7SZ","",""
"158","Bei der Schule sind alle für Gebührenfreiheit, bei der frühkindlichen Bildung nicht. @tsghessen hält das für falsch. Kostenfreie Kitas sind dringend notwendig. Dafür tritt er ein. #Frauensalon #ltwhe18","",""
"159","#Betriebsbesuch der Pittler ProRegion Berufsausbildung GmbH mit @tsghessen in #Langen.  #SPD #AfA #Hessen #Langen https://t.co/Tu4aatZz7t","",""
"160","Das Team der SPD für Hessen ist richtig stark. Diesmal bin ich besonders happy meine ehemalige Professorin Teil des Teams #tsg18 ist. Richtig gute Frau! #ltwhe18 #AndreaGerlachSPDdigital #wk44 https://t.co/bqXq7eEidG","",""
"165","#GutenMorgen. Wir brauchen mehr Lehrerinnen und Lehrer: Der Mangel und der Unterrichtsausfall muss ein Ende haben. Zum anderen muss Schluss sein mit baufälligen Gebäuden, alten Geräten und fehlenden Internetanschlüssen an unseren Schulen! #SPD#tsg18 #ltwhe18 @tsghessen https://t.co/hu7GGUYQuR","",""
"167","Der Abstand schmilzt! Nur noch 3,5%... da geht was in Hessen!#tsg18 #LtwHessen #happyTSG #ltwhe18 https://t.co/Kf9f4FK4nD","",""
"173","Ein Anfang wäre, wenn man sich als Landesregierung nicht selbst an Spekulationen wie beim Verkauf des Polizeipräsidiums in Frankfurt beteiligen würde! https://t.co/9I8eIw0P11","",""
"174","Seid dabei! Beim großen Wahlkampfauftakt am 15. September im Schlachthof #Offenbach mit @tsghessen unsere Generalsekretärin @NancyFaeser, der #SPD-Parteivorsitzende Andrea Nahles und den Ministerpräsidentinnen Malu Dreyer und Manuela Schwesig. #tsg18 #Hessenplan+ #ltwhe18 https://t.co/4zTcLmLSuI","",""
"175","Eröffnung zur Austellung 100 Jahre Frauenwahlrecht. Franziska Giffey eröffnet. #mehrasf #Frauenwahlrecht #historischesmuseumfrankfurt #Frankfurt https://t.co/2tix3QmOnn","",""
"176","Mein Plakat im Wahlkreis kennen viele - hier ein kleiner Einblick für alle, dich sich fragen,  was mich ausmacht und wofür ich stehe. 
Andrea Gerlach – Engagiert und aufrichtig;url=https://t.co/5V02NxhTbX","",""
"182","@GertUweMende Eine Antwort in 90 Sekunden scheint auch eine überfordende Aufgabe zu sein...","",""
"183","Schaut euch mal den Beschluss von #mehrASF vom gestrigen Tag an. Wir können, müssen die Verschärfung des Asylkurses durch die EU ablehnen und trotzdem - oder gerade deshalb - die europäische Gemeinschaft stärken. ASF tut das mit ihrer neuen Bundesvorsitzenden #MariaNoichl <U+0001F1EA><U+0001F1FA> https://t.co/g2fiGLMFcX","",""
"184","@thomaswinzer @larsklingbeil Gerne! Alleine ""die sozialdigitale Revolution"" von TSG oder auch einfach mal ins Landtagswahlprogramm der Hessen SPD schauen. Da steht eine Menge drin","",""
"185","@GertUweMende @tsghessen Danke dir<U+0001F917>","",""
"186","@tsghessen @goetheuni Tolle Personalie! Gute Wahl","",""
